locale	is_default	xkb_layout	xkb_variant	fallback_locales
00_00.utf8	1	us		en_US.utf8
be_BY.utf8	1	by,us		en_US.utf8
bg_BG.utf8	1	bg,us		en_US.utf8
bs_BA.utf8	1	ba,us		en_US.utf8
C	1	us		en_US.utf8
cs_CZ.utf8	1	cz,us		en_US.utf8
da_DK.utf8	1	dk,us		en_US.utf8
de_AT.utf8	0	de,us		de_DE.utf8 en_US.utf8
de_BE.utf8	0	be,de,fr,us		de_DE.utf8 fr_FR.utf8 en_US.utf8
de_CH.utf8	0	ch,us	fr	de_DE.utf8 en_US.utf8
de_DE.utf8	1	de,us		en_US.utf8
de_LI.utf8	0	de,us		de_DE.utf8 en_US.utf8
de_LU.utf8	0	de,us		de_DE.utf8 en_US.utf8
el_CY.utf8	0	gr,us		en_US.utf8
el_GR.utf8	1	gr,us		en_US.utf8
en_AG.utf8	0	us		en_US.utf8
en_AU.utf8	0	us		en_US.utf8
en_BW.utf8	0	us		en_US.utf8
en_CA.utf8	0	us,ca		en_US.utf8
en_DK.utf8	0	dk,us		en_US.utf8
en_GB.utf8	0	gb,us		en_US.utf8
en_HK.utf8	0	us		en_US.utf8
en_IE.utf8	0	ie,gb,us		en_GB.utf8 en_US.utf8
en_IN.utf8	0	us		en_US.utf8
en_NG.utf8	0	us		en_US.utf8
en_NZ.utf8	0	us		en_US.utf8
en_PH.utf8	0	us		en_US.utf8
en_SG.utf8	0	us		en_US.utf8
en_US.utf8	1	us		en_US.utf8
en_ZA.utf8	0	us		en_US.utf8
en_ZW.utf8	0	us		en_US.utf8
es_AR.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_BO.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_CL.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_CO.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_CR.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_DO.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_EC.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_ES.utf8	1	es,us		en_US.utf8
es_GT.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_HN.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_MX.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_NI.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_PA.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_PE.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_PR.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_PY.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_SV.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_US.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_UY.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
es_VE.utf8	0	latam,es,us		es_ES.utf8 en_US.utf8
et_EE.utf8	1	et,us		en_US.utf8
fi_FI.utf8	1	fi,us		en_US.utf8
fr_BE.utf8	0	be,fr,us		fr_FR.utf8 en_US.utf8
fr_CA.utf8	0	ca,us		fr_FR.utf8 en_US.utf8
fr_CH.utf8	0	ch,us	fr	en_US.utf8
fr_FR.utf8	1	fr,us		en_US.utf8
fr_LU.utf8	0	fr,us		fr_FR.utf8 en_US.utf8
fr_NC.utf8	0	fr,us		fr_FR.utf8 en_US.utf8
ga_IE.utf8	1	ie,gb,us		en_IE.utf8 en_GB.utf8 en_US.utf8
he_IL.utf8	1	il,us		en_US.utf8
hr_HR.utf8	1	hr,us		en_US.utf8
hu_HU.utf8	1	hu,us		en_US.utf8
is_IS.utf8	1	is,us		en_US.utf8
it_CH.utf8	0	it,de,fr,us		it_IT.utf8 en_US.utf8
it_IT.utf8	1	it,us		en_US.utf8
ja_JP.utf8	1	jp,us		en_US.utf8
ko_KR.utf8	1	kr,us		en_US.utf8
nb_NO.utf8	1	no,us		nb_NO.utf8 en_US.utf8
nl_AW.utf8	0	us,nl		nl_NL.utf8 en_US.utf8
nl_BE.utf8	0	be,fr,us		nl_NL.utf8 en_US.utf8
nl_NL.utf8	1	us,nl		en_US.utf8
nn_NO.utf8	1	no,us		nn_NO.utf8 en_US.utf8
pl_PL.utf8	1	pl,us		en_US.utf8
pt_BR.utf8	1	br,us		pt_PT.utf8 en_US.utf8
pt_PT.utf8	0	pt,us		pt_BR.utf8 en_US.utf8
ro_RO.utf8	1	ro,us		en_US.utf8
ru_RU.utf8	1	ru,us		en_US.utf8
ru_UA.utf8	0	ru,us		en_US.utf8
se_FI.utf8	0	fi,no,se,us	fi	fi_FI.utf8 en_US.utf8
se_NO.utf8	0	no,fi,se,us	smi	nn_NO.utf8 en_US.utf8
se_SE.utf8	1	se,fi,no,us	smi	sv_SE.utf8 en_US.utf8
sk_SK.utf8	1	sk,us		en_US.utf8
sl_SI.utf8	1	si,us		en_US.utf8
sv_FI.utf8	0	se,fi,us	basic	en_US.utf8
sv_SE.utf8	1	se,us	basic	en_US.utf8
tr_CY.utf8	0	tr,us		en_US.utf8
tr_TR.utf8	1	tr,us		en_US.utf8
uk_UA.utf8	1	ua,ru,us		en_US.utf8
zh_CN.utf8	1	us		zh_TW.utf8 en_US.utf8
zh_HK.utf8	0	us		zh_TW.utf8 en_US.utf8
zh_SG.utf8	0	us		zh_CN.utf8 en_US.utf8
zh_TW.utf8	0	us		zh_HK.utf8 en_US.utf8
